2025-02-23 18:14:43 - VALORANT-Win64-Shipping.exe (PID: 23464) - CPU: 82.1%, MEM: 10.113068059895513%
2025-02-23 18:14:49 - System Idle Process (PID: 0) - CPU: 1149.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:14:49 - VALORANT-Win64-Shipping.exe (PID: 23464) - CPU: 80.2%, MEM: 10.118339414039257%
2025-02-23 18:15:03 - System Idle Process (PID: 0) - CPU: 1190.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:15:43 - System Idle Process (PID: 0) - CPU: 1276.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:15:49 - System Idle Process (PID: 0) - CPU: 1265.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:16:03 - System Idle Process (PID: 0) - CPU: 1301.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:16:43 - System Idle Process (PID: 0) - CPU: 1409.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:16:49 - System Idle Process (PID: 0) - CPU: 1431.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:17:03 - System Idle Process (PID: 0) - CPU: 1424.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:17:43 - System Idle Process (PID: 0) - CPU: 1409.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:17:49 - System Idle Process (PID: 0) - CPU: 1409.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:18:03 - System Idle Process (PID: 0) - CPU: 1416.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:18:43 - System Idle Process (PID: 0) - CPU: 1445.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:18:49 - System Idle Process (PID: 0) - CPU: 1448.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:19:03 - System Idle Process (PID: 0) - CPU: 1445.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:19:43 - System Idle Process (PID: 0) - CPU: 1403.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:19:49 - System Idle Process (PID: 0) - CPU: 1400.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:20:03 - System Idle Process (PID: 0) - CPU: 1402.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:20:43 - System Idle Process (PID: 0) - CPU: 1453.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:20:49 - System Idle Process (PID: 0) - CPU: 1445.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:21:03 - System Idle Process (PID: 0) - CPU: 1447.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:21:43 - System Idle Process (PID: 0) - CPU: 1423.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:21:49 - System Idle Process (PID: 0) - CPU: 1430.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:22:03 - System Idle Process (PID: 0) - CPU: 1426.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:22:43 - System Idle Process (PID: 0) - CPU: 1447.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:22:49 - System Idle Process (PID: 0) - CPU: 1450.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:23:03 - System Idle Process (PID: 0) - CPU: 1452.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:23:43 - System Idle Process (PID: 0) - CPU: 1455.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:23:49 - System Idle Process (PID: 0) - CPU: 1454.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:24:03 - System Idle Process (PID: 0) - CPU: 1456.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:24:43 - System Idle Process (PID: 0) - CPU: 1419.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:24:49 - System Idle Process (PID: 0) - CPU: 1421.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:25:03 - System Idle Process (PID: 0) - CPU: 1423.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:25:43 - System Idle Process (PID: 0) - CPU: 1419.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:25:49 - System Idle Process (PID: 0) - CPU: 1417.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:26:03 - System Idle Process (PID: 0) - CPU: 1415.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:26:44 - System Idle Process (PID: 0) - CPU: 1453.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:26:49 - System Idle Process (PID: 0) - CPU: 1453.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:27:03 - System Idle Process (PID: 0) - CPU: 1450.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:27:44 - System Idle Process (PID: 0) - CPU: 1419.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:27:49 - System Idle Process (PID: 0) - CPU: 1418.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:28:03 - System Idle Process (PID: 0) - CPU: 1421.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:28:44 - System Idle Process (PID: 0) - CPU: 1439.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:28:49 - System Idle Process (PID: 0) - CPU: 1443.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:29:04 - System Idle Process (PID: 0) - CPU: 1445.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:29:44 - System Idle Process (PID: 0) - CPU: 1430.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:29:49 - System Idle Process (PID: 0) - CPU: 1427.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:30:04 - System Idle Process (PID: 0) - CPU: 1425.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:30:44 - System Idle Process (PID: 0) - CPU: 1427.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:30:49 - System Idle Process (PID: 0) - CPU: 1419.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:31:04 - System Idle Process (PID: 0) - CPU: 1418.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:31:44 - System Idle Process (PID: 0) - CPU: 1418.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:31:49 - System Idle Process (PID: 0) - CPU: 1429.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:32:04 - System Idle Process (PID: 0) - CPU: 1426.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:32:44 - System Idle Process (PID: 0) - CPU: 1435.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:32:49 - System Idle Process (PID: 0) - CPU: 1434.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:33:04 - System Idle Process (PID: 0) - CPU: 1440.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:33:44 - System Idle Process (PID: 0) - CPU: 1456.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:33:49 - System Idle Process (PID: 0) - CPU: 1457.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:34:04 - System Idle Process (PID: 0) - CPU: 1454.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:34:44 - System Idle Process (PID: 0) - CPU: 1423.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:34:49 - System Idle Process (PID: 0) - CPU: 1421.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:35:04 - System Idle Process (PID: 0) - CPU: 1424.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:35:44 - System Idle Process (PID: 0) - CPU: 1425.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:35:50 - System Idle Process (PID: 0) - CPU: 1420.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:36:04 - System Idle Process (PID: 0) - CPU: 1415.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:36:44 - System Idle Process (PID: 0) - CPU: 1447.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:36:50 - System Idle Process (PID: 0) - CPU: 1454.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:37:04 - System Idle Process (PID: 0) - CPU: 1459.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:37:44 - System Idle Process (PID: 0) - CPU: 1426.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:37:50 - System Idle Process (PID: 0) - CPU: 1426.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:38:04 - System Idle Process (PID: 0) - CPU: 1426.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:38:44 - System Idle Process (PID: 0) - CPU: 1461.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:38:50 - System Idle Process (PID: 0) - CPU: 1461.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:39:04 - System Idle Process (PID: 0) - CPU: 1458.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:39:44 - System Idle Process (PID: 0) - CPU: 1434.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:39:50 - System Idle Process (PID: 0) - CPU: 1434.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:40:04 - System Idle Process (PID: 0) - CPU: 1437.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:40:44 - System Idle Process (PID: 0) - CPU: 1432.2%, MEM: 4.972975607305997e-05%
2025-02-23 18:40:50 - System Idle Process (PID: 0) - CPU: 1431.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:41:04 - System Idle Process (PID: 0) - CPU: 1430.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:41:44 - System Idle Process (PID: 0) - CPU: 1462.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:41:50 - System Idle Process (PID: 0) - CPU: 1462.9%, MEM: 4.972975607305997e-05%
