2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54524) -> addr(ip='172.64.146.88', port=8443) - TIME_WAIT
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54546) -> addr(ip='13.107.3.254', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=49409) -> addr(ip='20.198.118.190', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=58508) -> addr(ip='104.18.36.135', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='127.0.0.1', port=56051) -> addr(ip='127.0.0.1', port=56053) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54510) -> addr(ip='20.189.173.21', port=443) - TIME_WAIT
2025-02-23 18:06:03 - addr(ip='127.0.0.1', port=59387) -> addr(ip='127.0.0.1', port=59386) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=64447) -> addr(ip='18.164.217.53', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54501) -> addr(ip='175.111.128.6', port=53) - TIME_WAIT
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54490) -> addr(ip='42.99.140.155', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=56353) -> addr(ip='18.164.217.101', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54528) -> addr(ip='103.207.170.2', port=53) - TIME_WAIT
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=57601) -> addr(ip='52.98.57.130', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54502) -> addr(ip='175.111.128.6', port=53) - TIME_WAIT
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=57686) -> addr(ip='172.65.217.212', port=5223) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=61788) -> addr(ip='104.16.56.21', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=55401) -> addr(ip='18.164.217.50', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54548) -> addr(ip='204.79.197.222', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=54527) -> addr(ip='52.182.143.212', port=443) - TIME_WAIT
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=60572) -> addr(ip='18.164.217.101', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=61775) -> addr(ip='57.144.147.33', port=80) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=59146) -> addr(ip='13.203.1.146', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=61787) -> addr(ip='104.18.41.183', port=443) - ESTABLISHED
2025-02-23 18:06:03 - addr(ip='192.168.1.36', port=61919) -> addr(ip='23.10.239.251', port=80) - ESTABLISHED
2025-02-23 18:06:23 - addr(ip='192.168.1.36', port=54556) -> addr(ip='13.107.5.93', port=443) - ESTABLISHED
2025-02-23 18:06:23 - addr(ip='192.168.1.36', port=54552) -> addr(ip='13.107.5.93', port=443) - TIME_WAIT
2025-02-23 18:06:23 - addr(ip='192.168.1.36', port=54554) -> addr(ip='13.107.5.93', port=443) - ESTABLISHED
2025-02-23 18:06:28 - addr(ip='192.168.1.36', port=54554) -> addr(ip='13.107.5.93', port=443) - TIME_WAIT
2025-02-23 18:06:28 - addr(ip='192.168.1.36', port=54556) -> addr(ip='13.107.5.93', port=443) - TIME_WAIT
2025-02-23 18:06:33 - addr(ip='192.168.1.36', port=54557) -> addr(ip='13.107.246.48', port=443) - ESTABLISHED
2025-02-23 18:06:48 - addr(ip='192.168.1.36', port=54508) -> addr(ip='20.60.57.225', port=443) - TIME_WAIT
2025-02-23 18:06:48 - addr(ip='192.168.1.36', port=54487) -> addr(ip='52.239.175.4', port=443) - FIN_WAIT1
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61788) -> addr(ip='104.16.56.21', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54487) -> addr(ip='52.239.175.4', port=443) - FIN_WAIT1
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61775) -> addr(ip='57.144.147.33', port=80) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=51030) -> addr(ip='20.198.119.84', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54508) -> addr(ip='20.60.57.225', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54510) -> addr(ip='20.189.173.21', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54490) -> addr(ip='42.99.140.155', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54475) -> addr(ip='150.171.85.254', port=443) - CLOSE_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61815) -> addr(ip='104.16.56.21', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54542) -> addr(ip='103.207.170.2', port=53) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54520) -> addr(ip='23.217.111.177', port=443) - ESTABLISHED
